behavior,total_calcium_events,duration_seconds,frequency_hz,neuron_count,avg_frequency_per_neuron
ALL,602,624.7916666666667,0.9635211737245747,55,0.017518566794992266
Open-Peer,2,16.458333333333336,0.12151898734177213,55,0.002209436133486766
Open,53,23.333333333333336,2.2714285714285714,55,0.0412987012987013
Middle,60,50.625,1.1851851851851851,55,0.021548821548821546
Middle-to-Close,3,8.75,0.34285714285714286,55,0.006233766233766234
Close,467,441.0416666666667,1.0588568729333963,55,0.01925194314424357
Middle-to-OpenPeer,7,6.041666666666667,1.1586206896551723,55,0.021065830721003133
Middle-to-Open,28,26.041666666666668,1.0752,55,0.01954909090909091
Close-to-Middle,30,22.916666666666668,1.309090909090909,55,0.023801652892561982
Close-to-Open,11,7.916666666666667,1.3894736842105262,55,0.02526315789473684
